               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.025326,           0.0083305,           0.0084635,             0.98345,             0.98035,             0.98951,             0.91048,            0.018882,           0.0036916,           0.0078261,            0.001585,            0.001585,            0.001585
                  87,            0.024656,           0.0093599,           0.0077647,             0.98378,             0.97854,             0.98897,             0.90597,            0.018879,           0.0036331,           0.0078011,            0.001486,            0.001486,            0.001486
                  88,            0.025116,           0.0087799,           0.0078709,             0.98329,             0.96928,             0.98666,             0.90663,            0.018829,           0.0036801,           0.0077529,            0.001387,            0.001387,            0.001387
                  89,            0.024563,           0.0091256,           0.0077667,             0.98875,             0.95191,             0.98681,             0.90891,            0.018746,           0.0036426,              0.0077,            0.001288,            0.001288,            0.001288
                  90,            0.024921,           0.0083943,           0.0077896,             0.98753,             0.95518,             0.98724,             0.90493,            0.018719,           0.0036926,           0.0076974,            0.001189,            0.001189,            0.001189
                  91,            0.024242,           0.0088405,           0.0080851,             0.98907,             0.95094,             0.98655,             0.90178,            0.018796,            0.003693,           0.0076948,             0.00109,             0.00109,             0.00109
                  92,            0.024682,           0.0082403,           0.0078577,             0.98887,             0.95509,             0.98769,             0.90452,            0.018779,             0.00368,           0.0077002,            0.000991,            0.000991,            0.000991
                  93,            0.023801,           0.0089274,            0.007799,             0.98886,             0.95415,             0.98848,             0.90332,            0.018746,           0.0036845,           0.0077169,            0.000892,            0.000892,            0.000892
                  94,            0.023844,           0.0081246,           0.0080591,             0.98873,             0.95886,             0.98744,             0.90632,            0.018785,             0.00358,            0.007647,            0.000793,            0.000793,            0.000793
                  95,            0.023775,           0.0086409,           0.0073135,             0.98887,             0.95845,               0.988,              0.9047,            0.018764,           0.0036005,           0.0076332,            0.000694,            0.000694,            0.000694
                  96,            0.023846,           0.0084605,           0.0074052,             0.98792,             0.96261,             0.98811,             0.90363,            0.018745,           0.0036198,           0.0076392,            0.000595,            0.000595,            0.000595
                  97,            0.023926,           0.0085427,           0.0075357,             0.98907,             0.95976,             0.98832,             0.90875,            0.018718,           0.0035974,           0.0076525,            0.000496,            0.000496,            0.000496
                  98,            0.024248,           0.0086224,           0.0076985,             0.98876,             0.95093,             0.98771,              0.9064,            0.018723,           0.0036005,           0.0076551,            0.000397,            0.000397,            0.000397
                  99,             0.02402,           0.0088991,           0.0082796,             0.98877,             0.94936,             0.98664,             0.90323,            0.018675,           0.0036282,           0.0076587,            0.000298,            0.000298,            0.000298
